Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Packet Length Std,Max Packet Length,Min Packet Length,SYN Flag Count,ACK Flag Count,RST Flag Count,src_ip
17,1901.000000,15,0,22800,0,11993687.53287743293003682272,7890.583903208837453971593898,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,1905.000000,16,0,23936,0,12564829.39632545931758530184,8398.950131233595800524934383,1496.0,0.0,1496,1496,0,0,0,10.0.0.3
6,4046.000000,12,13,3236,1070,1064260.998517053880375679684,6178.942165101334651507661888,172.24,275.4679335240311,1094,60,4,21,2,10.0.0.5
17,2027.000000,18,0,27360,0,13497779.97039960532807104095,8880.118401578687715836211149,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2035.000000,17,0,25840,0,12697788.69778869778869778870,8353.808353808353808353808354,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2064.000000,18,0,27360,0,13255813.95348837209302325581,8720.930232558139534883720930,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
6,2909.000000,12,12,3236,1022,1463733.241663801993812306635,8250.257820556892402887590237,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
17,1932.000000,18,0,26928,0,13937888.19875776397515527950,9316.770186335403726708074534,1496.0,0.0,1496,1496,0,0,0,10.0.0.3
17,2192.000000,17,0,25840,0,11788321.16788321167883211679,7755.474452554744525547445255,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,1912.000000,17,0,25840,0,13514644.35146443514644351464,8891.213389121338912133891213,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
6,3822.000000,10,12,3092,1022,1076399.790685504971219256934,5756.148613291470434327577185,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
17,1979.000000,16,0,24320,0,12289034.86609398686205154118,8084.891359272359777665487620,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,1979.000000,15,0,22800,0,11520970.18696311268317331986,7579.585649317837291561394644,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,1983.000000,15,0,22800,0,11497730.71104387291981845688,7564.296520423600605143721634,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2242.000000,17,0,25840,0,11525423.72881355932203389831,7582.515611061552185548617306,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
6,3289.000000,14,14,3356,1142,1367588.932806324110671936759,8513.225904530252356339312861,160.64285714285714,262.4433563764236,1094,60,4,22,4,10.0.0.5
17,1965.000000,18,0,27360,0,13923664.12213740458015267176,9160.305343511450381679389313,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2462.000000,16,0,24320,0,9878147.847278635255889520715,6498.781478472786352558895207,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
